LOB	Business Area	Scope Item ID	Description	Solution Activity (Hierarchy)	Fiori App or Transaction Title	Fiori App or Transaction ID	Business Role Description	Business Role ID
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	    Create Purchase Order	Create Purchase Order 	ME21N	Purchaser	SAP_BR_PURCHASER
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	    Create EWM Inbound Delivery	Create Inbound Deliveries - Deliveries 	F1705	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	    Putaway to the Mezzanine				
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Process Goods Receipt	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Check Warehouse Orders (Optional)				
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Putaway of Products	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	    Putaway to the High Rack Narrow Aisle				
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Process Goods Receipt	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Check Warehouse Orders (Optional)				
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Move Pallets from Staging Area to Handover Point	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Putaway of Products from the Handover Point to the High Rack Pallet Buffer	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	    Putaway to the Bulk Storage				
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Process the Goods Receipt	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Process the Goods Receipt	Pack Handling Units - Advanced 	/SCWM/PACK	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Check Warehouse Orders (Optional)				
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Putaway of Products to Bulk Storage	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	    Putaway from Clarification Zone				
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Process Goods Receipt	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Move Products to Clarification Zone	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Repack at the Clarification Zone	Pack Handling Units - Advanced 	/SCWM/PACK	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Create Warehouse Tasks to Move Handling Units from the Clarification Zone				
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Create Warehouse Tasks to Move Handling Units from the Clarification Zone	Create Warehouse Tasks - Handling Units 	/SCWM/ADHU	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Move Products from Clarification Zone to Mezzanine	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	    Check Inbound Delivery (Optional)	Display Inbound Delivery 	VL33N	Receiving Specialist	SAP_BR_RECEIVING_SPECIALIST
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	    Appendix				
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Warehouse Management Monitor Handling	Warehouse Monitor 	/SCWM/MON	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1FS	Basic Warehouse Inbound Processing from Supplier	        Succeeding Processes				
Supply Chain	Warehousing	1FU	Initial Stock Upload for Warehouse	    Upload Initial Stock				
Supply Chain	Warehousing	1FU	Initial Stock Upload for Warehouse	    Upload Initial Stock	Upload Stock 	/SCWM/ISU	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1FU	Initial Stock Upload for Warehouse	    Check Material Documents (Optional)	Material Documents Overview 	F1077	Inventory Manager	SAP_BR_INVENTORY_MANAGER
Supply Chain	Warehousing	1FW	Physical Inventory in Warehouse	    Preparation				
Supply Chain	Warehousing	1FW	Physical Inventory in Warehouse	        Create Physical Inventory Documents for High Rack Narrow Aisle and Bulk Storage	Warehouse Monitor 	/SCWM/MON	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1FW	Physical Inventory in Warehouse	        Create Physical Inventory Documents for High Rack Narrow Aisle and Bulk Storage	Create Physical Inventory Documents 	F3197	Inventory Manager	SAP_BR_INVENTORY_MANAGER
Supply Chain	Warehousing	1FW	Physical Inventory in Warehouse	        Create Physical Inventory Documents for Mezzanine	Create Physical Inventory Documents 	F3197	Inventory Manager	SAP_BR_INVENTORY_MANAGER
Supply Chain	Warehousing	1FW	Physical Inventory in Warehouse	    Counting				
Supply Chain	Warehousing	1FW	Physical Inventory in Warehouse	        Alternative 1: Paper-Based Counting				
Supply Chain	Warehousing	1FW	Physical Inventory in Warehouse	            Print Physical Inventory Documents	Warehouse Monitor 	/SCWM/MON	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1FW	Physical Inventory in Warehouse	            Enter Count Results from Printout into System	Count Physical Inventory 	/SCWM/PI_COUNT	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1FW	Physical Inventory in Warehouse	        Alternative 2: RF-Based Counting				
Supply Chain	Warehousing	1FW	Physical Inventory in Warehouse	            Mezzanine: Enter Count Results into System	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FW	Physical Inventory in Warehouse	            High-Rack Narrow-Aisle: Enter Count Results into System	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FW	Physical Inventory in Warehouse	            Bulk Storage: Enter Count Results into System	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FW	Physical Inventory in Warehouse	    Finalization				
Supply Chain	Warehousing	1FW	Physical Inventory in Warehouse	        Monitor Recount Physical Inventory Documents (Optional)	Warehouse Monitor 	/SCWM/MON	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1FW	Physical Inventory in Warehouse	        Post Physical Inventory Documents	Warehouse Monitor 	/SCWM/MON	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1FW	Physical Inventory in Warehouse	        Post Physical Inventory Differences	Post Differences - Automatic 	/SCWM/WM_ADJUST	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1FW	Physical Inventory in Warehouse	        Review and Post Differences with Difference Analyzer	Analyze Differences 	/SCWM/DIFF_ANALYZER	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1FY	Replenishment in Warehouse	    Replenish Stock	Replenish Stock 	/SCWM/REPL	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1FY	Replenishment in Warehouse	    Check Replenishment Warehouse Tasks (Optional)	Warehouse Monitor 	/SCWM/MON	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1FY	Replenishment in Warehouse	    Process Replenishment of Mezzanine				
Supply Chain	Warehousing	1FY	Replenishment in Warehouse	        Move Handling Unit to Handover Point	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FY	Replenishment in Warehouse	        Move Handling Unit from Handover Point to Mezzanine	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FY	Replenishment in Warehouse	    Process Replenishment of High Rack Narrow Aisle Picking Area				
Supply Chain	Warehousing	1FY	Replenishment in Warehouse	        Variant 1: Intra-Aisle Replenishment				
Supply Chain	Warehousing	1FY	Replenishment in Warehouse	            Putaway of Handling Unit in Destination Bin	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FY	Replenishment in Warehouse	        Variant 2: Cross-Aisle Replenishment				
Supply Chain	Warehousing	1FY	Replenishment in Warehouse	            Move Handling Unit to Handover Point	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FY	Replenishment in Warehouse	            Move Handling Unit between Handover Points	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FY	Replenishment in Warehouse	            Putaway of Handling Unit in Destination Aisle	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1FY	Replenishment in Warehouse	    Process Replenishment of Bulk Storage Picking Area	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G0	Scrapping in Warehouse	    Alternative 1: Scrapping Due to Expired BBD/SLED				
Supply Chain	Warehousing	1G0	Scrapping in Warehouse	        Select Stock to Be Scrapped	Warehouse Monitor 	/SCWM/MON	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1G0	Scrapping in Warehouse	        Create Posting Change with Warehouse Tasks				
Supply Chain	Warehousing	1G0	Scrapping in Warehouse	        Move Stock to Handover Point	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G0	Scrapping in Warehouse	        Move Stock to the Scrapping Zone	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G0	Scrapping in Warehouse	    Alternative 2: Scrapping Due to Damaged Stock				
Supply Chain	Warehousing	1G0	Scrapping in Warehouse	        Create Ad-Hoc Warehouse Tasks for Scrapping Damaged Stock				
Supply Chain	Warehousing	1G0	Scrapping in Warehouse	            Scrap from Mezzanine	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G0	Scrapping in Warehouse	            Scrap from Narrow Aisle High Rack Picking Area	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G0	Scrapping in Warehouse	            Scrap from Narrow Aisle High Rack Pallet Buffer				
Supply Chain	Warehousing	1G0	Scrapping in Warehouse	                Move Stock to Handover Point	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G0	Scrapping in Warehouse	                Move Stock from Handover Point to Scrapping Zone	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G0	Scrapping in Warehouse	            Scrap from Bulk Storage				
Supply Chain	Warehousing	1G0	Scrapping in Warehouse	                Scrap from Bulk Storage A and Bulk Storage B	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G0	Scrapping in Warehouse	                Scrap from Bulk Storage B Picking Area	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G0	Scrapping in Warehouse	            Scrap from Blocked Stock Area	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G0	Scrapping in Warehouse	    Empty Scrapping Zone and Post Goods Issue	Post Goods Issue - Unplanned 	/SCWM/ADGI	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Create Sales Order				
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Create Sales Order				
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Create Delivery	Create Outbound Delivery - With Order Reference 	VL01N	Shipping Specialist	SAP_BR_SHIPPING_SPECIALIST
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Create Delivery	Display Outbound Delivery 	VL03N	Shipping Specialist	SAP_BR_SHIPPING_SPECIALIST
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Create Warehouse Tasks Manually				
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Check Warehouse Orders (Optional)	Warehouse Monitor 	/SCWM/MON	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Pick Warehouse Orders from the Mezzanine				
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	        Pick from the Mezzanine	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	        Create Shipping Handling Unit(s) and Repacking	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	        Create Shipping Handling Unit(s) and Repacking	Pack Handling Units - Advanced 	/SCWM/PACK	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Pick Warehouse Orders from the High Rack Narrow Aisle				
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	        Pick from High Rack Pallet Buffer				
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	            Pick Handling Units from High Rack Pallet Buffer	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	            Move Handling Unit from Handover Point to Packing Work Center	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	        Pick from High Rack Picking Area				
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	            Pick Pallet Quantity from High Rack Picking Area	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	            Pick Partial Quantity from High Rack Picking Area				
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	                Pick Partial Quantity	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	                Create Shipping Handling Unit(s) and Repacking	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Pick Warehouse Orders from the Bulk Storage				
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	        Pick from the Bulk Storage A (Partial Pallets Allowed)	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	        Pick from the Bulk Storage A (Partial Pallets Allowed)	Warehouse Monitor 	/SCWM/MON	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	        Pick Non-Pallet Quantities from the Bulk Storage A (Partial Pallets Allowed)	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	        Pick Pallet Quantities from the Bulk Storage B (No Partial Pallets)	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	        Pick Pallet Quantities from the Bulk Storage B (No Partial Pallets)	Warehouse Monitor 	/SCWM/MON	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	        Pick Non-Pallet Quantities from the Bulk Storage B Picking Area	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	        Create Shipping Handling Unit(s) and Repacking	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	        Create Shipping Handling Unit(s) and Repacking	Pack Handling Units - Advanced 	/SCWM/PACK	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Close Shipping Handling Unit(s)	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Close Shipping Handling Unit(s)	Pack Handling Units - Advanced 	/SCWM/PACK	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Stage Shipping HUs	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Stage Shipping HUs	Pack Handling Units - Advanced 	/SCWM/PACK	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Display Loading Overview (Optional)	Warehouse Monitor 	/SCWM/MON	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Display Loading Overview (Optional)	Display Sales Orders -  	VA03	Internal Sales Representative	SAP_BR_INTERNAL_SALES_REP
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Display Loading Overview (Optional)	Display Outbound Delivery 	VL03N	Internal Sales Representative	SAP_BR_INTERNAL_SALES_REP
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Load Shipping Handling Unit(s)	Test RF Environment 	/SCWM/RFUI	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Load Shipping Handling Unit(s)	Pack Handling Units - Advanced 	/SCWM/PACK	Warehouse Operative (EWM)	SAP_BR_WAREHOUSE_OPERATIVE_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Post Goods Issue for Outbound Delivery Order	Run Outbound Process - Deliveries 	F1704	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Post Goods Issue for Outbound Delivery Order	Run Outbound Process 	F1704	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Check Outbound Delivery (Optional)	Display Outbound Delivery 	VL03N	Shipping Specialist	SAP_BR_SHIPPING_SPECIALIST
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	    Appendix				
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	        Process Integration				
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	            Preceding Processes				
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	            Succeeding Processes				
Supply Chain	Warehousing	1G2	Basic Warehouse Outbound Processing to Customer	        Warehouse Management Monitor Handling	Warehouse Monitor 	/SCWM/MON	Warehouse Clerk (EWM)	SAP_BR_WAREHOUSE_CLERK_EWM
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	    Backorder Processing (BOP)				
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	        Preparation Activities for Running Backorder Processing (BOP)				
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	            Configure BOP Segment	Configure BOP Segment 	F2158	Order Fulfillment Manager	SAP_BR_ORDER_FULFILLMNT_MNGR
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	            Configure BOP Variant	Configure BOP Variant 	F2160	Order Fulfillment Manager	SAP_BR_ORDER_FULFILLMNT_MNGR
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	            Configure Custom BOP Sorting	Configure Custom BOP Sorting 	F2983	Order Fulfillment Manager	SAP_BR_ORDER_FULFILLMNT_MNGR
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	        Backorder Run				
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	            Schedule BOP Run	Schedule BOP Run 	F2665	Order Fulfillment Manager	SAP_BR_ORDER_FULFILLMNT_MNGR
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	            Monitor BOP Run	Monitor BOP Run 	F2159	Order Fulfillment Manager	SAP_BR_ORDER_FULFILLMNT_MNGR
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	    Release for Delivery				
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	        Preparation Activities for Release for Delivery				
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	            Configure Order Fulfillment Responsibilities	Configure Order Fulfillment Responsibilities 	F2246	Order Fulfillment Manager	SAP_BR_ORDER_FULFILLMNT_MNGR
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	        Release for Delivery				
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	            Prepare/Release Sales Orders for Materials Without Availability Issues for Delivery	Release for Delivery 	F1786	Order Fulfillment Specialist	SAP_BR_ORDER_FULFILLMNT_SPCLST
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	            Identify Most Important Sales Orders for Materials with Availability Issues	Release for Delivery 	F1786	Order Fulfillment Specialist	SAP_BR_ORDER_FULFILLMNT_SPCLST
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	            Solve Issues by Redistributing Quantities	Release for Delivery 	F1786	Order Fulfillment Specialist	SAP_BR_ORDER_FULFILLMNT_SPCLST
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	            Release Processed Sales Orders	Release for Delivery 	F1786	Order Fulfillment Specialist	SAP_BR_ORDER_FULFILLMNT_SPCLST
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	    Product Allocation (PAL)				
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	        Preparation Activities for Product Allocation (PAL)				
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	            Configure Product Allocation	Configure Product Allocation 	F2119	Order Fulfillment Manager	SAP_BR_ORDER_FULFILLMNT_MNGR
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	            Configure Product Allocation	Manage Characteristic Catalogs 	F3829	Order Fulfillment Manager	SAP_BR_ORDER_FULFILLMNT_MNGR
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	            Manage Product Allocation Planning Data	Manage Product Allocation Planning Data 	F2121	Order Fulfillment Manager	SAP_BR_ORDER_FULFILLMNT_MNGR
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	            Manage Product Allocation Sequences	Manage Product Allocation Sequences 	F2474	Order Fulfillment Manager	SAP_BR_ORDER_FULFILLMNT_MNGR
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	            Assign Product to Product Allocation	Assign Product to Product Allocation 	F2120	Order Fulfillment Manager	SAP_BR_ORDER_FULFILLMNT_MNGR
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	            Assign Product to Product Allocation	Product Allocation Overview 	F3474	Order Fulfillment Manager	SAP_BR_ORDER_FULFILLMNT_MNGR
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	        Check Availability with Product Allocation (PAL)	Manage Sales Orders 	F1873	Internal Sales Representative	SAP_BR_INTERNAL_SALES_REP
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	        Check Availability with Product Allocation (PAL)	Manage Product Allocation Planning Data 	F2121	Order Fulfillment Manager	SAP_BR_ORDER_FULFILLMNT_MNGR
Supply Chain	Advanced Order Promising	1JW	Advanced Available-to-Promise Processing	        Check Availability with Product Allocation (PAL)	Assign Product to Product Allocation 	F2120	Order Fulfillment Manager	SAP_BR_ORDER_FULFILLMNT_MNGR
